time_utc,hcho_ppb
01-Oct-2022 00:00:30,3.00059256845306
01-Oct-2022 00:01:30,3.22038824065381
01-Oct-2022 00:02:30,4.98873149868877
01-Oct-2022 00:03:30,4.82346795175735
01-Oct-2022 00:04:30,3.51810916855115
01-Oct-2022 00:05:30,3.07166321640849
01-Oct-2022 00:06:30,3.46740953490168
01-Oct-2022 00:07:30,2.64979975825302
01-Oct-2022 00:08:30,2.8057307544201
01-Oct-2022 00:09:30,3.60145363891956
01-Oct-2022 00:10:30,2.98532356357901
01-Oct-2022 00:11:30,2.7549051670172
01-Oct-2022 00:12:30,2.90469507600451
01-Oct-2022 00:13:30,3.89922621624825
01-Oct-2022 00:14:30,2.93402220412007
01-Oct-2022 00:15:30,3.79053925533422
01-Oct-2022 00:16:30,3.94900336974686
01-Oct-2022 00:17:30,3.19467639598046
01-Oct-2022 00:18:30,2.80117525914557
01-Oct-2022 00:19:30,2.97181873604387
01-Oct-2022 00:20:30,3.20041518471014
01-Oct-2022 00:21:30,3.72331725515442
01-Oct-2022 00:22:30,3.26098049967303
01-Oct-2022 00:23:30,3.28501664927923
01-Oct-2022 00:24:30,2.662035700076
01-Oct-2022 00:25:30,3.1689985259286
01-Oct-2022 00:26:30,2.98170937546014
01-Oct-2022 00:27:30,3.07093334830186
01-Oct-2022 00:28:30,NaN
01-Oct-2022 00:29:30,NaN
01-Oct-2022 00:30:30,NaN
01-Oct-2022 00:31:30,NaN
01-Oct-2022 00:32:30,NaN
01-Oct-2022 00:33:30,3.72034381594089
01-Oct-2022 00:34:30,2.78050047539224
01-Oct-2022 00:35:30,2.97774200226699
01-Oct-2022 00:36:30,2.78938765986428
01-Oct-2022 00:37:30,2.76556791761641
01-Oct-2022 00:38:30,4.04885894210734
01-Oct-2022 00:39:30,2.71890381174347
01-Oct-2022 00:40:30,2.74117842568783
01-Oct-2022 00:41:30,3.78957247487011
01-Oct-2022 00:42:30,3.96797105463018
01-Oct-2022 00:43:30,3.2797380414849
01-Oct-2022 00:44:30,3.57951921989046
01-Oct-2022 00:45:30,3.58301292087969
01-Oct-2022 00:46:30,3.07092281264601
01-Oct-2022 00:47:30,2.66586393718145
01-Oct-2022 00:48:30,3.7262278343986
01-Oct-2022 00:49:30,2.44928580130046
01-Oct-2022 00:50:30,3.42542467273454
01-Oct-2022 00:51:30,2.59617220490219
01-Oct-2022 00:52:30,3.16496008817834
01-Oct-2022 00:53:30,2.97132006753546
01-Oct-2022 00:54:30,3.12807500897837
01-Oct-2022 00:55:30,3.33759846421423
01-Oct-2022 00:56:30,3.05165733141464
01-Oct-2022 00:57:30,3.34152721720925
01-Oct-2022 00:58:30,3.21632144830895
01-Oct-2022 00:59:30,2.61456361235116
01-Oct-2022 01:00:30,2.84880818484347
01-Oct-2022 01:01:30,2.74858050181563
01-Oct-2022 01:02:30,3.20223570826422
01-Oct-2022 01:03:30,3.16042496499773
01-Oct-2022 01:04:30,3.0196321233663
01-Oct-2022 01:05:30,2.61263198539581
01-Oct-2022 01:06:30,3.50540990946736
01-Oct-2022 01:07:30,2.43681860884141
01-Oct-2022 01:08:30,2.59701662848313
01-Oct-2022 01:09:30,2.6906132496777
