time_utc,hcho_ppb
19-Aug-2023 20:15:00,7.89238858291847
19-Aug-2023 20:16:00,3.83481402169841
19-Aug-2023 20:16:59,9.93270006690082
19-Aug-2023 20:17:59,8.6755490273467
19-Aug-2023 20:19:00,8.65294474306618
19-Aug-2023 20:20:00,6.95215554447908
19-Aug-2023 20:21:00,10.1102955178036
19-Aug-2023 20:22:00,9.79723303409749
19-Aug-2023 20:23:00,4.24738875126235
19-Aug-2023 20:24:00,8.49535413834937
19-Aug-2023 20:25:00,7.76354252247314
19-Aug-2023 20:26:00,8.3047405066647
19-Aug-2023 20:27:00,3.57968876762851
19-Aug-2023 20:28:00,6.77083265263088
19-Aug-2023 20:29:00,7.03861868480096
19-Aug-2023 20:29:59,4.70013091899723
19-Aug-2023 20:31:00,5.9830636176728
19-Aug-2023 20:32:00,7.65649760962946
19-Aug-2023 20:33:00,7.41306486276651
19-Aug-2023 20:33:59,4.03525228383734
19-Aug-2023 20:34:59,8.06977849912426
19-Aug-2023 20:35:59,7.49472453264525
19-Aug-2023 20:37:00,8.20293600395999
19-Aug-2023 20:38:00,3.48992970178086
19-Aug-2023 20:38:59,6.77041452346177
19-Aug-2023 20:39:59,6.06924474665267
19-Aug-2023 20:41:00,3.69381286926473
19-Aug-2023 20:41:59,6.48982011388105
19-Aug-2023 20:42:59,6.96696106662371
19-Aug-2023 20:43:59,6.1387226615267
19-Aug-2023 20:44:59,3.42073032649782
19-Aug-2023 20:46:00,6.53829518695789
19-Aug-2023 20:47:00,8.38742284980193
19-Aug-2023 20:47:59,7.47908004506844
19-Aug-2023 20:48:59,6.17020771837636
19-Aug-2023 20:49:59,8.41379682746036
19-Aug-2023 20:51:00,7.87586182947011
19-Aug-2023 20:51:59,2.47286830607537
19-Aug-2023 20:52:59,8.18753350744248
19-Aug-2023 20:54:00,7.67279263907949
19-Aug-2023 20:54:59,7.67268838083541
19-Aug-2023 20:55:59,4.3131393781657
19-Aug-2023 20:57:00,8.08405280699634
19-Aug-2023 20:57:59,8.54753046833648
19-Aug-2023 20:58:59,6.77115264577354
19-Aug-2023 20:59:59,8.05617042358742
19-Aug-2023 21:01:00,8.74617217299611
19-Aug-2023 21:02:00,8.83513831831693
19-Aug-2023 21:02:59,3.08467797699895
19-Aug-2023 21:03:59,7.76035046636878
19-Aug-2023 21:05:00,7.38953850668416
19-Aug-2023 21:06:00,7.29740378817971
19-Aug-2023 21:06:59,2.53881766123714
19-Aug-2023 21:07:59,7.11392771153298
19-Aug-2023 21:09:00,7.56635524150087
19-Aug-2023 21:10:00,3.01925850279169
19-Aug-2023 21:11:00,7.92448744107607
19-Aug-2023 21:12:00,7.08918339905317
19-Aug-2023 21:12:59,6.92600640734207
19-Aug-2023 21:13:59,3.3903651169921
19-Aug-2023 21:15:00,8.15804632150112
19-Aug-2023 21:16:00,7.83381977497283
19-Aug-2023 21:17:00,5.44097221279578
19-Aug-2023 21:18:00,5.39706411275561
19-Aug-2023 21:18:59,6.95988824609093
19-Aug-2023 21:20:00,6.90430572634709
19-Aug-2023 21:21:00,3.85060645609964
19-Aug-2023 21:21:59,7.59103379736657
